corpus	language	source_table_id	arm	config	query_budget_wire	n	basis	matched_comparison	gold_at_2k_wire	gold_at_8k_wire	gold_at_32k_wire	ttg_at_80_reach_wire	ttg_at_80_median_wire	producer_id	report_id	report_manifest_id
py_nosphinx	Python	py	native_floor	explorer	not_applicable	39	frozen_gold	yes	0.025641026	0.141025641	0.504273504	0.871794872	26150	noodl-eval-native-floor	py-native-floor	py-native-floor-manifest
py_nosphinx	Python	py	nbx_shipped	shipped_default	not_applicable	39	frozen_gold	yes	0.735042735	0.833333333	0.910256410	0.897435897	1121	noodl-eval-nbx-shipped	py-nbx-shipped	py-nbx-shipped-manifest
py_nosphinx	Python	py	graphify_32k	code_only	32000	39	frozen_gold	yes	0.128205128	0.141025641	0.371794872	0.897435897	96025	graphifyy-0.9.28	py-graphify-32k	not_emitted
py_nosphinx	Python	py	graphify_default	code_only	2000	39	frozen_gold	yes	0.128205128	0.141025641	0.371794872	0.435897436	20516	graphifyy-0.9.28	py-graphify-2k	not_emitted
ts40	TypeScript	ts	native_floor	explorer	not_applicable	37	frozen_gold	yes	0.101544402	0.186057486	0.315986116	0.648648649	65250	noodl-eval-native-floor	ts-native-floor	ts-native-floor-manifest
ts40	TypeScript	ts	nbx_shipped	shipped_default	not_applicable	37	frozen_gold	yes	0.490199290	0.789118014	0.889274014	0.783783784	3051	noodl-eval-nbx-shipped	ts-nbx-shipped	ts-nbx-shipped-manifest
ts40	TypeScript	ts	graphify_32k	code_only	32000	37	frozen_gold	yes	0.081490581	0.189818065	0.426323076	0.378378378	52933	graphifyy-0.9.28	ts-graphify-32k	not_emitted
ts40	TypeScript	ts	graphify_default	code_only	2000	37	frozen_gold	yes	0.081490581	0.189818065	0.417314067	0.243243243	18788	graphifyy-0.9.28	ts-graphify-2k	not_emitted
go34	Go	go	native_floor	explorer	not_applicable	30	frozen_gold	yes	0.038888889	0.083413776	0.264716895	0.566666667	161511	noodl-eval-native-floor	go-native-floor	go-native-floor-manifest
go34	Go	go	nbx_shipped	shipped_default	not_applicable	30	frozen_gold	yes	0.313023295	0.692971103	0.855956451	0.733333333	5314	noodl-eval-nbx-shipped	go-nbx-shipped	go-nbx-shipped-manifest
go34	Go	go	graphify_32k	code_only	32000	30	frozen_gold	yes	0.020000000	0.115535325	0.321935885	0.300000000	26728	graphifyy-0.9.28	go-graphify-32k	not_emitted
go34	Go	go	graphify_default	code_only	2000	30	frozen_gold	yes	0.020000000	0.115535325	0.321935885	0.200000000	11097	graphifyy-0.9.28	go-graphify-2k	not_emitted
rust43	Rust	rust	native_floor	explorer	not_applicable	40	frozen_gold	yes	0.054166667	0.178571429	0.338988095	0.775000000	70457	noodl-eval-native-floor	rust-native-floor	rust-native-floor-manifest
rust43	Rust	rust	nbx_shipped	shipped_default	not_applicable	40	frozen_gold	yes	0.372980859	0.532189542	0.774501050	0.700000000	5448	noodl-eval-nbx-shipped	rust-nbx-shipped	rust-nbx-shipped-manifest
rust43	Rust	rust	graphify_32k	code_only	32000	34	graphify_failure_subset	no	0.062091503	0.119493876	0.257390701	0.529411765	54679	graphifyy-0.9.28	rust-graphify-32k	not_emitted
rust43	Rust	rust	graphify_default	code_only	2000	34	graphify_failure_subset	no	0.062091503	0.119493876	0.257390701	0.352941176	27054	graphifyy-0.9.28	rust-graphify-2k	not_emitted
